DATE,EXPIRY,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE
2025-06-12,2025-06-26,56635.0,56742.6,56200.0,56269.6,56208.8,56269.6,1207470,30,68114070132.0,1946940.0,-52950.0,BANKNIFTY,FUTIDX
2025-06-11,2025-06-26,56755.0,56938.0,56570.4,56648.6,56625.0,56648.6,927810,30,52641838518.0,1999890.0,-29790.0,BANKNIFTY,FUTIDX
2025-06-10,2025-06-26,57026.2,57099.0,56721.0,56764.6,56735.0,56764.6,772830,30,43924184964.0,2029680.0,-43470.0,BANKNIFTY,FUTIDX
2025-06-09,2025-06-26,57150.0,57165.2,56905.4,56999.2,56990.0,56999.2,955380,30,54497362446.0,2073150.0,-21810.0,BANKNIFTY,FUTIDX
2025-06-06,2025-06-26,55999.8,56832.8,55780.0,56770.4,56795.0,56770.4,3436800,30,193819057122.0,2094960.0,141240.0,BANKNIFTY,FUTIDX
2025-06-05,2025-06-26,56010.4,56219.0,55851.0,56044.4,56043.4,56044.4,999720,30,56017285710.0,1953720.0,-11880.0,BANKNIFTY,FUTIDX
2025-06-04,2025-06-26,55930.8,56047.8,55700.0,55989.4,55984.8,55989.4,794580,30,44423931216.0,1965600.0,11880.0,BANKNIFTY,FUTIDX
2025-06-03,2025-06-26,56275.0,56355.0,55824.2,55931.0,55852.2,55931.0,1398030,30,78343935738.0,1953720.0,108720.0,BANKNIFTY,FUTIDX
2025-06-02,2025-06-26,56100.0,56217.2,55719.0,56180.4,56175.0,56180.4,1289520,30,72212907300.0,1845000.0,2340.0,BANKNIFTY,FUTIDX
2025-05-30,2025-06-26,55950.0,56140.2,55707.0,56076.4,56082.0,56076.4,1329330,30,74389374594.0,1842660.0,66120.0,BANKNIFTY,FUTIDX
2025-05-29,2025-06-26,55770.0,56020.0,55500.4,55869.8,56000.2,55869.8,1573440,30,87710644428.0,1776540.0,374370.0,BANKNIFTY,FUTIDX
2025-05-28,2025-06-26,55650.0,55885.4,55605.2,55763.8,55766.0,55763.8,817050,30,45555696372.0,1402170.0,389040.0,BANKNIFTY,FUTIDX
2025-05-27,2025-06-26,55940.4,56150.2,55430.2,55775.0,55730.6,55775.0,1338060,30,74615224164.0,1013130.0,327480.0,BANKNIFTY,FUTIDX
2025-07-31,2025-07-31,55946.6,56450.0,55528.2,55988.8,55958.4,55961.95,1504650,35,84161069307.0,552195.0,-563675.0,BANKNIFTY,FUTIDX
2025-07-30,2025-07-31,56339.6,56356.0,56106.0,56217.6,56201.6,56217.6,866845,35,48757907387.0,1115870.0,-203665.0,BANKNIFTY,FUTIDX
2025-07-29,2025-07-31,55999.2,56400.0,55955.0,56331.8,56327.2,56331.8,1028965,35,57800704010.0,1319535.0,-281050.0,BANKNIFTY,FUTIDX
2025-07-28,2025-07-31,56298.4,56670.0,56061.0,56179.0,56187.4,56179.0,1004325,35,56600080768.0,1600585.0,-168665.0,BANKNIFTY,FUTIDX
2025-07-25,2025-07-31,57068.2,57185.0,56511.0,56585.8,56539.4,56585.8,1277220,35,72504904493.0,1769250.0,-50470.0,BANKNIFTY,FUTIDX
2025-07-24,2025-07-31,57410.2,57410.2,56931.8,57117.6,57115.4,57117.6,873950,35,49883750546.0,1819720.0,-73010.0,BANKNIFTY,FUTIDX
2025-07-23,2025-07-31,56866.0,57294.0,56757.8,57235.8,57237.4,57235.8,863765,35,49293002668.0,1892730.0,-133910.0,BANKNIFTY,FUTIDX
2025-07-22,2025-07-31,57205.2,57211.6,56750.0,56804.6,56750.0,56804.6,814870,35,46416317003.0,2026640.0,-26495.0,BANKNIFTY,FUTIDX
2025-07-21,2025-07-31,56640.0,57030.0,56350.0,56981.8,56994.0,56981.8,1533560,35,87088381779.0,2053135.0,-189910.0,BANKNIFTY,FUTIDX
2025-07-18,2025-07-31,56744.0,56900.0,56354.2,56415.6,56354.2,56415.6,1348865,35,76219404387.0,2243045.0,101920.0,BANKNIFTY,FUTIDX
2025-07-17,2025-07-31,57380.2,57380.2,56923.6,56973.4,56928.2,56973.4,921760,35,52599791230.0,2141125.0,2100.0,BANKNIFTY,FUTIDX
2025-07-16,2025-07-31,57235.8,57340.0,57060.0,57265.2,57246.8,57265.2,729050,35,41720230713.0,2139025.0,22330.0,BANKNIFTY,FUTIDX
2025-07-15,2025-07-31,56999.8,57339.8,56999.8,57232.6,57250.0,57232.6,896805,35,51300171713.0,2116695.0,62195.0,BANKNIFTY,FUTIDX
2025-07-14,2025-07-31,56888.0,57075.0,56769.2,57002.6,57001.0,57002.6,714035,35,40640240081.0,2054500.0,29365.0,BANKNIFTY,FUTIDX
2025-07-11,2025-07-31,57075.0,57225.0,56814.0,56917.6,56890.0,56917.6,847175,35,48257857998.0,2025135.0,20685.0,BANKNIFTY,FUTIDX
2025-07-10,2025-07-31,57379.8,57488.6,57142.2,57171.6,57159.8,57171.6,815010,35,46669378742.0,2004450.0,-72975.0,BANKNIFTY,FUTIDX
2025-07-09,2025-07-31,57390.8,57499.0,57250.0,57383.6,57370.8,57383.6,613025,35,35178116582.0,2077425.0,26775.0,BANKNIFTY,FUTIDX
2025-07-08,2025-07-31,57290.0,57489.4,57149.2,57454.0,57459.8,57454.0,816865,35,46869959255.0,2050650.0,46200.0,BANKNIFTY,FUTIDX
2025-07-07,2025-07-31,57270.0,57419.2,57063.6,57187.8,57171.0,57187.8,833700,35,47692937453.0,2004450.0,-1575.0,BANKNIFTY,FUTIDX
2025-07-04,2025-07-31,57088.8,57340.0,56910.0,57293.8,57305.2,57293.8,857535,35,48981699228.0,2006025.0,-74830.0,BANKNIFTY,FUTIDX
2025-07-03,2025-07-31,57250.0,57455.0,57093.0,57119.6,57111.0,57119.6,854525,35,48928212410.0,2080855.0,-67865.0,BANKNIFTY,FUTIDX
2025-07-02,2025-07-31,57706.6,57760.8,57175.0,57317.0,57245.0,57317.0,1222515,35,70146377931.0,2148720.0,-194425.0,BANKNIFTY,FUTIDX
2025-07-01,2025-07-31,57625.0,57750.0,57380.0,57689.6,57700.0,57689.6,767690,35,44201963043.0,2343145.0,51170.0,BANKNIFTY,FUTIDX
